epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,2.293085,0.086532,1.522732,0.009596,0.704259,0.534008,0.25,0.333333,0.0,1.02675,0.495981
2,2.275915,0.088875,1.423559,0.016625,0.774099,0.579206,0.25,0.333333,0.0,0.82433,0.599229
3,2.132915,0.089639,1.364989,0.018916,0.668431,0.501331,0.25,0.333333,0.0,0.91819,0.446799
4,1.959425,0.089842,1.423994,0.019527,0.698185,0.527788,0.25,0.333333,0.0,0.936532,0.487462
5,1.949044,0.08917,1.288214,0.01751,0.678086,0.508735,0.25,0.333333,0.0,0.828413,0.459801
6,1.845609,0.09085,1.241312,0.022549,0.693645,0.518277,0.25,0.333333,0.0,0.760168,0.481143
7,1.474644,0.086122,1.362101,0.008367,0.737371,0.536746,0.25,0.333333,0.0,0.818385,0.543716
8,0.653421,0.067,1.251425,0.043857,0.730026,0.650773,0.357143,0.555556,-0.2,0.718488,0.532938
9,0.21414,0.27154,1.694933,0.014621,0.8385,0.597088,0.55,0.555556,0.25,0.991852,0.703082
10,0.1979,0.045346,2.377328,-0.021104,0.741446,0.581817,0.357143,0.555556,-0.2,1.827586,0.549742
11,0.170669,0.045167,2.901288,-0.021642,0.771067,0.684924,0.357143,0.555556,-0.2,2.306743,0.594545
12,0.026996,-0.01227,1.879803,0.019135,0.683756,0.535829,0.307692,0.444444,-0.363636,1.412281,0.467522
13,0.032605,0.010542,2.2519,0.08757,0.760798,0.555638,0.307692,0.444444,-0.363636,1.673087,0.578813
14,0.027835,-0.01252,2.529878,0.018383,0.970315,0.673009,0.307692,0.444444,-0.363636,1.588366,0.941512
15,0.315091,0.046733,3.694406,-0.016944,0.767755,0.653081,0.357143,0.555556,-0.2,3.104959,0.589447
16,0.022857,0.281087,3.058546,0.043261,1.161123,0.9772,0.55,0.555556,0.25,1.710339,1.348208
17,0.087772,0.113201,2.787679,0.182461,0.767971,0.526377,0.357143,0.555556,-0.2,2.197899,0.58978
18,0.037148,0.101161,3.192279,0.146341,0.693875,0.513135,0.357143,0.555556,-0.2,2.710817,0.481462
19,0.01981,0.335175,2.174848,0.239091,0.736459,0.452204,0.584615,0.666667,0.181818,1.632477,0.542372
20,0.018013,0.103304,3.626904,0.152769,0.698802,0.547327,0.357143,0.555556,-0.2,3.13858,0.488324
21,0.020751,0.393597,2.208662,0.223747,0.754932,0.511035,0.649351,0.666667,0.307692,1.63874,0.569922
22,0.018341,0.123084,2.798134,0.21211,0.73796,0.497112,0.357143,0.555556,-0.2,2.253549,0.544585
23,0.019688,0.115369,3.097165,0.188963,0.747018,0.521923,0.357143,0.555556,-0.2,2.53913,0.558035
24,0.01509,0.134625,2.831683,0.246731,0.696497,0.442939,0.357143,0.555556,-0.2,2.346574,0.485108
25,0.016498,0.19522,3.713957,0.185661,0.686216,0.586036,0.4,0.666667,0.0,3.243064,0.470893
26,0.012486,0.14322,2.606489,0.272516,0.711396,0.467238,0.357143,0.555556,-0.2,2.100404,0.506085
27,0.055459,0.138775,2.809429,0.259181,0.681013,0.441192,0.357143,0.555556,-0.2,2.34565,0.463778
28,0.036712,0.107756,3.348844,0.166126,0.777554,0.468344,0.357143,0.555556,-0.2,2.744253,0.604591
29,0.011144,0.104629,3.60357,0.156743,0.711513,0.519104,0.357143,0.555556,-0.2,3.097319,0.506251
30,0.008894,0.293312,2.779577,0.113502,0.999264,0.760026,0.584615,0.666667,0.181818,1.781048,0.998529
31,0.010247,0.114265,3.585054,0.185653,0.72516,0.502568,0.357143,0.555556,-0.2,3.059197,0.525857
32,0.009767,0.306237,2.773138,0.152278,0.963132,0.735143,0.584615,0.666667,0.181818,1.845514,0.927624
33,0.009956,0.110151,2.943617,0.173311,0.903702,0.655802,0.357143,0.555556,-0.2,2.12694,0.816677
34,0.010009,0.077102,3.021096,0.074164,1.023261,0.766514,0.357143,0.555556,-0.2,1.974032,1.047064
35,0.009866,0.097045,3.249815,0.133992,0.843603,0.54037,0.357143,0.555556,-0.2,2.538149,0.711667
36,0.038158,0.095856,3.746842,0.130426,0.772244,0.513533,0.357143,0.555556,-0.2,3.150481,0.596361
37,0.005204,0.108969,3.488672,0.169763,0.720964,0.490691,0.357143,0.555556,-0.2,2.968882,0.51979
38,0.006843,0.102721,2.810873,0.151021,0.871328,0.587862,0.357143,0.555556,-0.2,2.05166,0.759212
39,0.005961,0.114399,3.180512,0.186053,0.789469,0.49702,0.357143,0.555556,-0.2,2.55725,0.623262
40,0.008066,0.105804,3.764437,0.160268,0.689093,0.508605,0.357143,0.555556,-0.2,3.289589,0.474849
41,0.008334,0.101902,3.167968,0.148564,0.797906,0.523175,0.357143,0.555556,-0.2,2.531315,0.636653
42,0.005158,0.099531,3.651456,0.141451,0.750177,0.494752,0.357143,0.555556,-0.2,3.08869,0.562766
43,0.008515,0.176699,3.771358,0.130098,0.706249,0.503252,0.4,0.666667,0.0,3.272571,0.498787
44,0.004959,0.185035,3.704504,0.155106,0.724919,0.483184,0.4,0.666667,0.0,3.178996,0.525508
45,0.007252,0.101284,2.876843,0.146709,0.791968,0.515442,0.357143,0.555556,-0.2,2.249629,0.627214
46,0.009249,0.08982,3.36108,0.112318,0.773856,0.519354,0.357143,0.555556,-0.2,2.762227,0.598854
