epoch,train_loss,val_scoretrack,val_loss,val_ccc,val_rmse,val_mae,val_f1,val_acc,val_kappa,val_cls_loss,val_reg_loss
1,3.448429,0.019918,2.259867,-0.006912,0.998382,0.785464,0.066667,0.111111,0.0,1.263101,0.996767
2,3.477595,0.019005,2.314589,-0.009651,0.981308,0.767245,0.066667,0.111111,0.0,1.351624,0.962965
3,3.047772,0.016373,2.52724,-0.017548,0.970183,0.76084,0.066667,0.111111,0.0,1.585986,0.941255
4,3.649124,0.016471,2.390626,-0.017255,0.975429,0.764279,0.066667,0.111111,0.0,1.439165,0.951461
5,3.404393,0.015624,2.295854,-0.019795,0.948049,0.743571,0.066667,0.111111,0.0,1.397056,0.898798
6,3.125807,0.017363,2.355743,-0.014577,0.987454,0.770135,0.066667,0.111111,0.0,1.380677,0.975066
7,3.139698,0.014251,1.941229,-0.023915,0.888713,0.699634,0.066667,0.111111,0.0,1.151419,0.78981
8,2.703244,0.046043,1.82633,-0.028537,0.865629,0.68612,0.166667,0.333333,0.0,1.077016,0.749313
9,2.123915,0.036146,1.921687,-0.058227,0.919867,0.696754,0.166667,0.333333,0.0,1.075532,0.846155
10,1.401333,0.004829,2.041965,-0.15218,0.941664,0.725504,0.166667,0.333333,0.0,1.155234,0.88673
11,1.352172,0.003985,2.102992,-0.154711,0.931391,0.814154,0.166667,0.333333,0.0,1.235503,0.867489
12,1.231301,0.00858,2.186695,-0.140925,0.898717,0.741127,0.166667,0.333333,0.0,1.379002,0.807693
13,1.19795,-0.043963,2.265832,-0.275246,0.966009,0.817679,0.181818,0.333333,-0.038462,1.332658,0.933174
14,1.121827,-0.036488,2.743443,-0.326997,1.033111,0.815563,0.181818,0.333333,0.035714,1.676126,1.067317
15,1.002692,-0.090787,3.094886,-0.329179,1.118527,0.823302,0.181818,0.333333,-0.125,1.843783,1.251103
16,0.973681,-0.047582,3.354962,-0.360279,1.115964,0.8554,0.181818,0.333333,0.035714,2.109587,1.245376
17,1.249484,-0.122851,3.432232,-0.305164,1.154616,0.875608,0.148148,0.222222,-0.211538,2.099094,1.333138
18,0.486246,-0.153863,3.74039,-0.172212,1.187449,0.859247,0.095238,0.111111,-0.384615,2.330353,1.410036
19,0.337159,-0.031671,3.669045,-0.23668,1.095556,0.885627,0.266667,0.333333,-0.125,2.468801,1.200244
20,0.444484,0.044991,3.281183,-0.15745,1.022361,0.897499,0.315152,0.444444,-0.022727,2.235962,1.045221
21,0.351818,-0.042018,4.102555,-0.133959,1.113602,0.859302,0.181818,0.333333,-0.173913,2.862445,1.24011
